player_match_id;match_id;player_id;position_id;player_team_id;was_home;season_id;round;total_points;xP;bonus;bps;minutes;goals;shots;xG;xA;assists;key_passes;npg;xGChain;xGBuildup;yellow_cards;red_cards;clean_sheets;goals_conceded;own_goals;penalties_missed;penalties_saved;saves;influence;creativity;threat;ict_index;npxG;selected;transfers_in;transfers_out;value
1;764;639;1;17;0;3;1;1;1.5;0;3;1;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;5871.0;0;0;55
2;766;464;1;2;1;3;1;1;1.1;0;3;1;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;9491.0;0;0;50
3;767;67;3;12;0;3;1;1;2.0;0;3;15;0;1;0.0460849;0.0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;5.2;0.3;19.0;2.5;0.0460849;124903.0;0;0;55
4;763;266;2;4;1;3;1;15;2.4;3;43;90;1;2;0.062356;0.0495596;0;1;1;0.606013;0.606013;0;0;1;0;0;0;0;0;66.0;14.6;25.0;10.6;0.062356;40132.0;0;0;45
5;769;441;2;5;1;3;1;1;1.9;0;15;90;0;0;0.0;0.0;0;0;0;0.136849;0.136849;0;0;0;2;0;0;0;0;14.0;1.3;0.0;1.5;0.0;24256.0;0;0;45
6;763;109;3;15;0;3;1;2;1.3;0;3;90;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;2;0;0;0;0;0.0;0.9;6.0;0.6;0.0;171887.0;0;0;60
7;761;137;1;6;1;3;1;2;1.1;0;16;74;0;0;0.0;0.0;0;0;0;0.0557319;0.0557319;0;0;0;1;0;0;0;0;5.8;3.8;0.0;1.0;0.0;9875.0;0;0;50
8;761;540;1;6;1;3;1;1;0.5;0;3;15;0;0;0.0;0.0;0;0;0;0.0;0.0;0;0;0;1;0;0;0;0;0.8;1.4;0.0;0.2;0.0;54854.0;0;0;45
9;769;863;2;5;1;3;1;1;1.9;0;12;90;0;1;0.0136184;0.0;0;0;0;0.162496;0.162496;0;0;0;2;0;0;0;0;19.2;3.3;6.0;2.9;0.0136184;128115.0;0;0;45
10;770;301;3;7;1;3;1;1;0.3;0;1;33;0;0;0.0;0.0;0;0;0;0.0238327;0.0238327;0;0;0;1;0;0;0;0;0.0;0.7;0.0;0.1;0.0;100675.0;0;0;70
